boloName,theta[deg.],phi[deg.],x[mm],y[mm],waferID,pixelID,freq[GHz],antenna,pol.ang.[deg.],diameter[mm]
000_000_000_QA_050_T,9.74,153.8,-151.796,74.693,0,0,50.0,QA,0,32.0
000_000_000_QA_050_B,9.74,153.8,-151.796,74.693,0,0,50.0,QA,90,32.0
000_000_000_QA_068_T,9.74,153.8,-151.796,74.693,0,0,68.0,QA,0,32.0
000_000_000_QA_068_B,9.74,153.8,-151.796,74.693,0,0,68.0,QA,90,32.0
000_000_000_QA_089_T,9.74,153.8,-151.796,74.693,0,0,89.0,QA,0,32.0
000_000_000_QA_089_B,9.74,153.8,-151.796,74.693,0,0,89.0,QA,90,32.0
000_000_001_QB_050_T,8.42,149.6,-126.296,74.098,0,1,50.0,QB,0,32.0
000_000_001_QB_050_B,8.42,149.6,-126.296,74.098,0,1,50.0,QB,90,32.0
000_000_001_QB_068_T,8.42,149.6,-126.296,74.098,0,1,68.0,QB,0,32.0
000_000_001_QB_068_B,8.42,149.6,-126.296,74.098,0,1,68.0,QB,90,32.0
000_000_001_QB_089_T,8.42,149.6,-126.296,74.098,0,1,89.0,QB,0,32.0
000_000_001_QB_089_B,8.42,149.6,-126.296,74.098,0,1,89.0,QB,90,32.0
000_000_002_UA_050_T,7.14,144.0,-100.556,73.058,0,2,50.0,UA,45,32.0
000_000_002_UA_050_B,7.14,144.0,-100.556,73.058,0,2,50.0,UA,135,32.0
000_000_002_UA_068_T,7.14,144.0,-100.556,73.058,0,2,68.0,UA,45,32.0
000_000_002_UA_068_B,7.14,144.0,-100.556,73.058,0,2,68.0,UA,135,32.0
000_000_002_UA_089_T,7.14,144.0,-100.556,73.058,0,2,89.0,UA,45,32.0
000_000_002_UA_089_B,7.14,144.0,-100.556,73.058,0,2,89.0,UA,135,32.0
000_000_003_QA_040_T,9.16,162.6,-151.907,47.605,0,3,40.0,QA,0,32.0
000_000_003_QA_040_B,9.16,162.6,-151.907,47.605,0,3,40.0,QA,90,32.0
000_000_003_QA_060_T,9.16,162.6,-151.907,47.605,0,3,60.0,QA,0,32.0
000_000_003_QA_060_B,9.16,162.6,-151.907,47.605,0,3,60.0,QA,90,32.0
000_000_003_QA_078_T,9.16,162.6,-151.907,47.605,0,3,78.0,QA,0,32.0
000_000_003_QA_078_B,9.16,162.6,-151.907,47.605,0,3,78.0,QA,90,32.0
000_000_004_QB_040_T,7.74,159.8,-126.394,46.504,0,4,40.0,QB,0,32.0
000_000_004_QB_040_B,7.74,159.8,-126.394,46.504,0,4,40.0,QB,90,32.0
000_000_004_QB_060_T,7.74,159.8,-126.394,46.504,0,4,60.0,QB,0,32.0
000_000_004_QB_060_B,7.74,159.8,-126.394,46.504,0,4,60.0,QB,90,32.0
000_000_004_QB_078_T,7.74,159.8,-126.394,46.504,0,4,78.0,QB,0,32.0
000_000_004_QB_078_B,7.74,159.8,-126.394,46.504,0,4,78.0,QB,90,32.0
000_000_005_UA_040_T,6.36,155.6,-100.881,45.762,0,5,40.0,UA,45,32.0
000_000_005_UA_040_B,6.36,155.6,-100.881,45.762,0,5,40.0,UA,135,32.0
000_000_005_UA_060_T,6.36,155.6,-100.881,45.762,0,5,60.0,UA,45,32.0
000_000_005_UA_060_B,6.36,155.6,-100.881,45.762,0,5,60.0,UA,135,32.0
000_000_005_UA_078_T,6.36,155.6,-100.881,45.762,0,5,78.0,UA,45,32.0
000_000_005_UA_078_B,6.36,155.6,-100.881,45.762,0,5,78.0,UA,135,32.0
000_000_006_UA_040_T,8.82,172.4,-151.984,20.279,0,6,40.0,UA,45,32.0
000_000_006_UA_040_B,8.82,172.4,-151.984,20.279,0,6,40.0,UA,135,32.0
000_000_006_UA_060_T,8.82,172.4,-151.984,20.279,0,6,60.0,UA,45,32.0
000_000_006_UA_060_B,8.82,172.4,-151.984,20.279,0,6,60.0,UA,135,32.0
000_000_006_UA_078_T,8.82,172.4,-151.984,20.279,0,6,78.0,UA,45,32.0
000_000_006_UA_078_B,8.82,172.4,-151.984,20.279,0,6,78.0,UA,135,32.0
000_000_007_UB_040_T,7.36,171.4,-126.663,19.156,0,7,40.0,UB,45,32.0
000_000_007_UB_040_B,7.36,171.4,-126.663,19.156,0,7,40.0,UB,135,32.0
000_000_007_UB_060_T,7.36,171.4,-126.663,19.156,0,7,60.0,UB,45,32.0
000_000_007_UB_060_B,7.36,171.4,-126.663,19.156,0,7,60.0,UB,135,32.0
000_000_007_UB_078_T,7.36,171.4,-126.663,19.156,0,7,78.0,UB,45,32.0
000_000_007_UB_078_B,7.36,171.4,-126.663,19.156,0,7,78.0,UB,135,32.0
000_000_008_UA_040_T,5.88,169.6,-100.762,18.493,0,8,40.0,UA,45,32.0
000_000_008_UA_040_B,5.88,169.6,-100.762,18.493,0,8,40.0,UA,135,32.0
000_000_008_UA_060_T,5.88,169.6,-100.762,18.493,0,8,60.0,UA,45,32.0
000_000_008_UA_060_B,5.88,169.6,-100.762,18.493,0,8,60.0,UA,135,32.0
000_000_008_UA_078_T,5.88,169.6,-100.762,18.493,0,8,78.0,UA,45,32.0
000_000_008_UA_078_B,5.88,169.6,-100.762,18.493,0,8,78.0,UA,135,32.0
000_001_000_QA_078_T,6.24,133.2,-74.406,79.234,1,0,78.0,QA,0,16.0
000_001_000_QA_078_B,6.24,133.2,-74.406,79.234,1,0,78.0,QA,90,16.0
000_001_000_QA_100_T,6.24,133.2,-74.406,79.234,1,0,100.0,QA,0,16.0
000_001_000_QA_100_B,6.24,133.2,-74.406,79.234,1,0,100.0,QA,90,16.0
000_001_000_QA_140_T,6.24,133.2,-74.406,79.234,1,0,140.0,QA,0,16.0
000_001_000_QA_140_B,6.24,133.2,-74.406,79.234,1,0,140.0,QA,90,16.0
000_001_001_QB_078_T,5.74,127.8,-61.3,79.027,1,1,78.0,QB,0,16.0
000_001_001_QB_078_B,5.74,127.8,-61.3,79.027,1,1,78.0,QB,90,16.0
000_001_001_QB_100_T,5.74,127.8,-61.3,79.027,1,1,100.0,QB,0,16.0
000_001_001_QB_100_B,5.74,127.8,-61.3,79.027,1,1,100.0,QB,90,16.0
000_001_001_QB_140_T,5.74,127.8,-61.3,79.027,1,1,140.0,QB,0,16.0
000_001_001_QB_140_B,5.74,127.8,-61.3,79.027,1,1,140.0,QB,90,16.0
000_001_002_UA_078_T,5.32,121.68,-48.693,78.903,1,2,78.0,UA,45,16.0
000_001_002_UA_078_B,5.32,121.68,-48.693,78.903,1,2,78.0,UA,135,16.0
000_001_002_UA_100_T,5.32,121.68,-48.693,78.903,1,2,100.0,UA,45,16.0
000_001_002_UA_100_B,5.32,121.68,-48.693,78.903,1,2,100.0,UA,135,16.0
000_001_002_UA_140_T,5.32,121.68,-48.693,78.903,1,2,140.0,UA,45,16.0
000_001_002_UA_140_B,5.32,121.68,-48.693,78.903,1,2,140.0,UA,135,16.0
000_001_003_UB_078_T,4.96,114.48,-35.827,78.688,1,3,78.0,UB,45,16.0
000_001_003_UB_078_B,4.96,114.48,-35.827,78.688,1,3,78.0,UB,135,16.0
000_001_003_UB_100_T,4.96,114.48,-35.827,78.688,1,3,100.0,UB,45,16.0
000_001_003_UB_100_B,4.96,114.48,-35.827,78.688,1,3,100.0,UB,135,16.0
000_001_003_UB_140_T,4.96,114.48,-35.827,78.688,1,3,140.0,UB,45,16.0
000_001_003_UB_140_B,4.96,114.48,-35.827,78.688,1,3,140.0,UB,135,16.0
000_001_004_QA_078_T,4.7,106.2,-22.86,78.685,1,4,78.0,QA,0,16.0
000_001_004_QA_078_B,4.7,106.2,-22.86,78.685,1,4,78.0,QA,90,16.0
000_001_004_QA_100_T,4.7,106.2,-22.86,78.685,1,4,100.0,QA,0,16.0
000_001_004_QA_100_B,4.7,106.2,-22.86,78.685,1,4,100.0,QA,90,16.0
000_001_004_QA_140_T,4.7,106.2,-22.86,78.685,1,4,140.0,QA,0,16.0
